Division,Event_Unique_Id,Homicide_Type,Hood_ID,Neighbourhood,ObjectId,Occurrence_Date,Occurrence_year,_id,geometry
D32,969241,Shooting,35,Westminster-Branson (35),81,2005-02-28T00:00:00,2005,81,"{'type': 'Point', 'coordinates': (-79.44601222, 43.78591811)}"
D33,953786,Shooting,42,Banbury-Don Mills (42),82,2005-03-05T00:00:00,2005,82,"{'type': 'Point', 'coordinates': (-79.35626481, 43.74098188)}"
D22,745939,Stabbing,16,Stonegate-Queensway (16),83,2005-03-11T00:00:00,2005,83,"{'type': 'Point', 'coordinates': (-79.49819683, 43.62392068)}"
D51,758352,Shooting,75,Church-Yonge Corridor (75),84,2005-03-25T01:00:00,2005,84,"{'type': 'Point', 'coordinates': (-79.37933495, 43.66187576)}"
D41,884190,Shooting,122,Birchcliffe-Cliffside (122),85,2005-04-13T00:00:00,2005,85,"{'type': 'Point', 'coordinates': (-79.2812186, 43.68531183)}"
D11,1052948,Shooting,85,South Parkdale (85),86,2005-04-18T00:00:00,2005,86,"{'type': 'Point', 'coordinates': (-79.4359982, 43.63717625000001)}"
D52,1006774,Other,77,Waterfront Communities-The Island (77),87,2005-04-19T00:00:00,2005,87,"{'type': 'Point', 'coordinates': (-79.38396859, 43.64239001)}"
D31,739652,Shooting,21,Humber Summit (21),88,2005-04-24T00:00:00,2005,88,"{'type': 'Point', 'coordinates': (-79.5529431, 43.75144038)}"
D42,736140,Stabbing,129,Agincourt North (129),89,2005-05-04T00:00:00,2005,89,"{'type': 'Point', 'coordinates': (-79.28060753, 43.80644999)}"
D14,739574,Shooting,83,Dufferin Grove (83),90,2005-05-05T00:00:00,2005,90,"{'type': 'Point', 'coordinates': (-79.43532635000001, 43.65988369)}"
D31,737037,Stabbing,25,Glenfield-Jane Heights (25),91,2005-05-05T00:00:00,2005,91,"{'type': 'Point', 'coordinates': (-79.51531663, 43.75521416000001)}"
D54,756176,Shooting,69,Blake-Jones (69),92,2005-05-08T00:00:00,2005,92,"{'type': 'Point', 'coordinates': (-79.3417383, 43.6795669)}"
D51,1001532,Shooting,75,Church-Yonge Corridor (75),93,2005-05-14T00:00:00,2005,93,"{'type': 'Point', 'coordinates': (-79.38159831, 43.66737287)}"
D41,863844,Shooting,137,Woburn (137),94,2005-05-15T00:00:00,2005,94,"{'type': 'Point', 'coordinates': (-79.24562478, 43.7826374)}"
D42,988453,Shooting,136,West Hill (136),95,2005-05-18T00:00:00,2005,95,"{'type': 'Point', 'coordinates': (-79.1906151, 43.75870654)}"
D31,781084,Stabbing,25,Glenfield-Jane Heights (25),96,2005-05-27T00:00:00,2005,96,"{'type': 'Point', 'coordinates': (-79.50964031, 43.73967319)}"
D55,760646,Shooting,62,East End-Danforth (62),97,2005-06-12T00:00:00,2005,97,"{'type': 'Point', 'coordinates': (-79.29488033, 43.68971806)}"
D31,1000509,Shooting,24,Black Creek (24),98,2005-06-24T00:00:00,2005,98,"{'type': 'Point', 'coordinates': (-79.52183024, 43.76677018)}"
D32,834756,Stabbing,32,Englemount-Lawrence (32),99,2005-06-25T00:00:00,2005,99,"{'type': 'Point', 'coordinates': (-79.44098195, 43.72012757)}"
D14,1086009,Shooting,93,Dovercourt-Wallace Emerson-Junction (93),100,2005-06-29T00:00:00,2005,100,"{'type': 'Point', 'coordinates': (-79.438146, 43.666428280000005)}"
D23,884293,Shooting,3,Thistletown-Beaumond Heights (3),101,2005-07-06T00:00:00,2005,101,"{'type': 'Point', 'coordinates': (-79.56858062, 43.74624912)}"
