Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D41,Other,120,Clairlea-Birchmount (120),2009-09-12T00:00:00Z,2009
D14,Shooting,85,South Parkdale (85),2009-10-10T00:00:00Z,2009
D51,Other,75,Church-Yonge Corridor (75),2009-10-18T00:00:00Z,2009
D31,Shooting,27,York University Heights (27),2009-10-18T00:00:00Z,2009
D13,Shooting,94,Wychwood (94),2009-10-30T00:00:00Z,2009
D54,Shooting,67,Playter Estates-Danforth (67),2009-11-02T00:00:00Z,2009
D31,Shooting,27,York University Heights (27),2009-11-03T00:00:00Z,2009
D53,Stabbing,95,Annex (95),2009-11-04T00:00:00Z,2009
D55,Other,70,South Riverdale (70),2009-11-07T00:00:00Z,2009
D14,Stabbing,79,University (79),2009-11-07T00:00:00Z,2009
D55,Other,70,South Riverdale (70),2010-01-02T00:00:00Z,2010
D13,Shooting,107,Oakwood Village (107),2009-11-11T00:00:00Z,2009
D23,Shooting,6,Kingsview Village-The Westway (6),2009-11-17T00:00:00Z,2009
D52,Shooting,76,Bay Street Corridor (76),2009-11-22T00:00:00Z,2009
D41,Shooting,127,Bendale (127),2009-11-22T00:00:00Z,2009
D31,Shooting,28,Rustic (28),2009-12-03T00:00:00Z,2009
D51,Other,71,Cabbagetown-South St.James Town (71),2009-12-05T00:00:00Z,2009
D31,Shooting,21,Humber Summit (21),2009-12-06T00:00:00Z,2009
D31,Shooting,113,Weston (113),2009-12-07T00:00:00Z,2009
D31,Shooting,26,Downsview-Roding-CFB (26),2009-12-09T00:00:00Z,2009
D42,Shooting,132,Malvern (132),2010-01-07T00:00:00Z,2010
D11,Stabbing,114,Lambton Baby Point (114),2009-12-13T00:00:00Z,2009
D14,Other,78,Kensington-Chinatown (78),2010-01-24T00:00:00Z,2010
D41,Stabbing,45,Parkwoods-Donalda (45),2010-01-27T00:00:00Z,2010
D52,Other,78,Kensington-Chinatown (78),2009-12-18T00:00:00Z,2009
D11,Shooting,90,Junction Area (90),2009-12-29T00:00:00Z,2009
D51,Stabbing,73,Moss Park (73),2010-02-03T00:00:00Z,2010
D14,Stabbing,77,Waterfront Communities-The Island (77),2011-01-01T00:00:00Z,2011
D41,Shooting,119,Wexford/Maryvale (119),2011-01-05T00:00:00Z,2011
D43,Other,136,West Hill (136),2011-01-06T00:00:00Z,2011
D53,Other,95,Annex (95),2011-01-12T00:00:00Z,2011
D13,Other,102,Forest Hill North (102),2011-01-13T00:00:00Z,2011
